starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 20:57:50 2013	1365447470	0	93	94	66
Mon Apr 08 20:57:55 2013	1365447475	0	93	94	93
Mon Apr 08 20:57:30 2013	1365447450	0	93	94	59
Mon Apr 08 20:57:10 2013	1365447430	0	93	94	93
Mon Apr 08 20:57:20 2013	1365447440	0	93	94	52
Mon Apr 08 20:57:27 2013	1365447447	0	93	94	66
Mon Apr 08 20:57:50 2013	1365447470	0	93	94	53
Mon Apr 08 20:57:20 2013	1365447440	0	93	94	59
Mon Apr 08 20:57:40 2013	1365447460	0	93	94	71
Mon Apr 08 20:57:12 2013	1365447432	0	94	94	87
Mon Apr 08 20:57:13 2013	1365447433	0	94	94	92
Mon Apr 08 20:57:20 2013	1365447440	0	94	94	58
Mon Apr 08 20:57:17 2013	1365447437	0	94	94	78
Mon Apr 08 20:57:27 2013	1365447447	0	93	94	62
Mon Apr 08 20:57:54 2013	1365447474	1	92	94	53
Mon Apr 08 20:57:39 2013	1365447459	0	94	94	72
Mon Apr 08 20:57:52 2013	1365447472	0	94	94	59
Mon Apr 08 20:57:29 2013	1365447449	0	94	94	55
Mon Apr 08 20:57:36 2013	1365447456	0	94	94	54
Mon Apr 08 20:57:32 2013	1365447452	0	94	94	60
Mon Apr 08 20:57:56 2013	1365447476	0	94	94	55
Mon Apr 08 20:57:36 2013	1365447456	0	93	94	58
Mon Apr 08 20:58:05 2013	1365447485	1	93	94	83
Mon Apr 08 20:57:10 2013	1365447430	0	94	94	83
Mon Apr 08 20:57:20 2013	1365447440	0	94	94	70
Mon Apr 08 20:57:09 2013	1365447429	0	94	94	71
Mon Apr 08 20:57:20 2013	1365447440	0	94	94	66
Mon Apr 08 20:57:57 2013	1365447477	0	94	94	54
Mon Apr 08 20:57:34 2013	1365447454	0	94	94	66
Mon Apr 08 20:57:25 2013	1365447445	1	93	94	58
Mon Apr 08 20:57:59 2013	1365447479	0	94	94	69
Mon Apr 08 20:57:20 2013	1365447440	0	94	94	74
Mon Apr 08 20:57:31 2013	1365447451	1	92	94	54
